,coef,lower,upper
middle cerebellar peduncle on FA skeleton,0.003538133423971039,-0.028261730583910415,0.043572035783054804
pontine crossing tract on FA skeleton,-0.01803020303362543,-0.042565464399262,0.015611061231859652
genu of corpus callosum on FA skeleton,0.00349212800029604,-0.05156871171482033,0.05535003337332216
body of corpus callosum on FA skeleton,-0.06158099173790275,-0.11861159174879052,-0.01012235098336571
splenium of corpus callosum on FA skeleton,-0.05604427109060665,-0.09051956387646656,-0.01909361019328994
fornix on FA skeleton,0.04762438773041189,0.00826275397800939,0.0853014139041421
corticospinal tract on FA skeleton (right),-0.019165580580692013,-0.05324887853737571,0.016282558214434695
corticospinal tract on FA skeleton (left),0.029124297979364392,-0.010924704140534286,0.06675615916339189
medial lemniscus on FA skeleton (right),-0.002346520492962981,-0.05558799520106996,0.056648408518300324
medial lemniscus on FA skeleton (left),-0.005238914507581972,-0.0625390318679052,0.05780631442973581
inferior cerebellar peduncle on FA skeleton (right),0.034561618448129605,-0.02036270316769598,0.09608842249109692
inferior cerebellar peduncle on FA skeleton (left),-0.01425598256264874,-0.06469732782822094,0.03932427414446511
superior cerebellar peduncle on FA skeleton (right),-0.08922704042432389,-0.1410029756076109,-0.036106628941773966
superior cerebellar peduncle on FA skeleton (left),-0.0031786656777635005,-0.06668749015711647,0.048076674322433725
cerebral peduncle on FA skeleton (right),-0.003766737500988962,-0.05211357239275052,0.04659622021182313
cerebral peduncle on FA skeleton (left),0.06552096868492051,0.02054661427354193,0.10505511868879519
anterior limb of internal capsule on FA skeleton (right),-0.014087844805431344,-0.06645304215301977,0.03237139320754279
anterior limb of internal capsule on FA skeleton (left),-0.032423654259507086,-0.09056498861230101,0.029176909060768946
posterior limb of internal capsule on FA skeleton (right),0.057166000487104185,-0.00020201556956639863,0.11743945764115321
posterior limb of internal capsule on FA skeleton (left),0.004641180609907372,-0.061551529625450144,0.057324966330343875
retrolenticular part of internal capsule on FA skeleton (right),0.0174737894637203,-0.016723188851707177,0.05777352745548621
retrolenticular part of internal capsule on FA skeleton (left),-0.009929296521056681,-0.058808796295138153,0.033597880941697175
anterior corona radiata on FA skeleton (right),0.00664329841211718,-0.05171345471332818,0.06237309876768449
anterior corona radiata on FA skeleton (left),0.018901538050993413,-0.043921762463297216,0.08033663571003498
superior corona radiata on FA skeleton (right),-0.030509299065962593,-0.08908278206269946,0.027012421324803332
superior corona radiata on FA skeleton (left),0.04408210184876035,-0.016055850114624584,0.10283237296358211
posterior corona radiata on FA skeleton (right),-0.03878509105322747,-0.0949286575721291,0.012503758554821767
posterior corona radiata on FA skeleton (left),0.013098551305122798,-0.05328681113592533,0.07863191655148362
posterior thalamic radiation on FA skeleton (right),0.01268905697136135,-0.04201219465930512,0.06642436101060184
posterior thalamic radiation on FA skeleton (left),0.022723353765188213,-0.03648125024378381,0.09037343842852139
sagittal stratum on FA skeleton (right),0.04474285436130355,0.0013733110068169744,0.10397793350719145
sagittal stratum on FA skeleton (left),-0.043151831369057495,-0.0782395676924536,-8.024435485427505e-05
external capsule on FA skeleton (right),0.018472710867190628,-0.03516180618093532,0.06874499367403382
external capsule on FA skeleton (left),0.02052436386388476,-0.04735174338984987,0.07382325679194458
cingulum cingulate gyrus on FA skeleton (right),0.020690561952248405,-0.02709172223278755,0.05620817144494711
cingulum cingulate gyrus on FA skeleton (left),0.02790774402823429,-0.01092745948313758,0.06836866550862224
cingulum hippocampus on FA skeleton (right),-0.008988086131138663,-0.046498806071311495,0.027860572524977766
cingulum hippocampus on FA skeleton (left),0.01845745146695328,-0.01468370633375192,0.05366743674679677
fornix cres+stria terminalis on FA skeleton (right),0.03933301487542987,0.00045230254553472305,0.09287989914204
fornix cres+stria terminalis on FA skeleton (left),0.0008325417778348235,-0.040428905652492034,0.04268976522746462
superior longitudinal fasciculus on FA skeleton (right),-0.044546928011037865,-0.10532471217670505,0.013448235804844985
superior longitudinal fasciculus on FA skeleton (left),0.015268202782415852,-0.04448055387268153,0.07985126417975218
superior fronto-occipital fasciculus on FA skeleton (right),0.016843528624687524,-0.03388381038599241,0.060786163075384224
superior fronto-occipital fasciculus on FA skeleton (left),-0.041609390690687045,-0.08290894338280032,0.00479407384390916
uncinate fasciculus on FA skeleton (right),-0.03188750906698318,-0.05807544909986997,0.002617155941304537
uncinate fasciculus on FA skeleton (left),-0.012571812871117078,-0.04935303861464937,0.017986920663212357
tapetum on FA skeleton (right),-0.0029154719063781225,-0.038380934244503576,0.04140722954347487
tapetum on FA skeleton (left),0.01686177421509555,-0.027463896370517722,0.05355894154841029
