,coef,lower,upper
Frontal Pole (left),-0.02408545779032171,-0.10910611440618878,0.06591903224372739
Frontal Pole (right),-0.005858163073518158,-0.0843152702814408,0.07511505492711248
Insular Cortex (left),-0.005089934692118425,-0.10457342865309507,0.06626885915771048
Insular Cortex (right),-0.06467457658894743,-0.13738428060479627,0.019188179352997426
Superior Frontal Gyrus (left),0.014235359365914897,-0.032608384604944515,0.053501302948259645
Superior Frontal Gyrus (right),-0.017314577861449826,-0.05966715655408475,0.030647311246163524
Middle Frontal Gyrus (left),0.0363606679400788,-0.008057190715850912,0.08626372135480562
Middle Frontal Gyrus (right),-0.006693916875055912,-0.05975379872329972,0.04526233262659793
Inferior Frontal Gyrus pars triangularis (left),0.010164995935752872,-0.025506918594187116,0.04927915140110108
Inferior Frontal Gyrus pars triangularis (right),0.015093669328889283,-0.025251109190501143,0.05403708331363967
Inferior Frontal Gyrus pars opercularis (left),0.016133509138979717,-0.014319517047436095,0.04979904441395183
Inferior Frontal Gyrus pars opercularis (right),0.022080323644020225,-0.008458185616163906,0.05804474548708911
Precentral Gyrus (left),0.07523596160950063,0.04159962970976072,0.12051896679167942
Precentral Gyrus (right),-0.03777872161593648,-0.07611031157063781,0.008973948490149803
Temporal Pole (left),0.006393962043039433,-0.0353570693359652,0.058860336029233865
Temporal Pole (right),0.0301189013770468,-0.018205808823350062,0.08316583500658864
Superior Temporal Gyrus anterior division (left),-0.024044536264842157,-0.05977585657480995,0.01132061344948004
Superior Temporal Gyrus anterior division (right),0.023069829236719436,-0.014482297767000355,0.06331471355232504
Superior Temporal Gyrus posterior division (left),0.023769700276720682,-0.018146002849879297,0.07007859819206536
Superior Temporal Gyrus posterior division (right),-0.01657976724126646,-0.06443093203729144,0.0339719963325037
Middle Temporal Gyrus anterior division (left),-0.0052018806408039376,-0.032592217207652555,0.029838311595010995
Middle Temporal Gyrus anterior division (right),-0.007126484697506663,-0.05018584380529917,0.026662894543368055
Middle Temporal Gyrus posterior division (left),-0.009626642804577333,-0.05086594608541137,0.03526810622220708
Middle Temporal Gyrus posterior division (right),0.018262154349530057,-0.028288436876254146,0.05351482824883377
Middle Temporal Gyrus temporooccipital part (left),-0.012227185869503374,-0.04736057012870241,0.02322404646548417
Middle Temporal Gyrus temporooccipital part (right),0.001877521765847813,-0.0377487013898911,0.03897700885506812
Inferior Temporal Gyrus anterior division (left),-0.022886080268178323,-0.05731952247172477,0.016337685107621992
Inferior Temporal Gyrus anterior division (right),-0.02970646038919489,-0.07080803498263052,0.0048429869880774875
Inferior Temporal Gyrus posterior division (left),0.00689015453634223,-0.036013348495789396,0.05848172122785855
Inferior Temporal Gyrus posterior division (right),0.031099661088471512,-0.006648169620561725,0.07844725310901818
Inferior Temporal Gyrus temporooccipital part (left),-0.02327471085668545,-0.057164473702757276,0.014770870958987676
Inferior Temporal Gyrus temporooccipital part (right),0.008197669701184192,-0.037025034854103106,0.04276032189482343
Postcentral Gyrus (left),-0.035725416167476244,-0.08386773245584023,0.006144217353285511
Postcentral Gyrus (right),0.02596581118765789,-0.012509221329967847,0.06913452837195001
Superior Parietal Lobule (left),0.0311170441693631,-0.004316974874833329,0.06551547345709466
Superior Parietal Lobule (right),-0.0049767950476299365,-0.03786333552846575,0.02472580066914413
