,coef,lower,upper
middle cerebellar peduncle on FA skeleton,-0.016826079698604172,-0.09431581954451403,0.05863694723189152
pontine crossing tract on FA skeleton,0.04438753887159596,-0.01756054339857896,0.10542365924465218
genu of corpus callosum on FA skeleton,0.05602530156526478,-0.06376304410497279,0.1552400650187692
body of corpus callosum on FA skeleton,-0.042866599135455194,-0.1590073738142023,0.07311485141613482
splenium of corpus callosum on FA skeleton,-0.0003806382515441036,-0.08528516956566311,0.07314594008024446
fornix on FA skeleton,-0.02768274258504243,-0.10131379185438265,0.049534376878341536
corticospinal tract on FA skeleton (right),-0.06061467116297106,-0.1483681930211715,0.03425925027313647
corticospinal tract on FA skeleton (left),0.0012656123665958294,-0.08554388740319349,0.08067027437685655
medial lemniscus on FA skeleton (right),0.04937453748726479,-0.04951108801306959,0.14676799618711828
medial lemniscus on FA skeleton (left),-0.08660761318322488,-0.18781582527624519,0.02224288239236967
inferior cerebellar peduncle on FA skeleton (right),-0.05172474585915198,-0.15831873211702102,0.061744508520999324
inferior cerebellar peduncle on FA skeleton (left),0.018671535312397024,-0.07365887308223198,0.14546247066932333
superior cerebellar peduncle on FA skeleton (right),0.03438576495328198,-0.057611946980972724,0.1595228193405214
superior cerebellar peduncle on FA skeleton (left),0.07558000569837026,-0.029136682463209218,0.18657473452208825
cerebral peduncle on FA skeleton (right),0.037743177602829636,-0.06050350621822689,0.14661948189709087
cerebral peduncle on FA skeleton (left),0.029291942064676668,-0.06944559181908017,0.11461055988329744
anterior limb of internal capsule on FA skeleton (right),-0.02583197152248654,-0.13412454737991278,0.08274477067223981
anterior limb of internal capsule on FA skeleton (left),-0.0796715248208762,-0.19078350780690242,0.026394003219918135
posterior limb of internal capsule on FA skeleton (right),-0.0807598290015752,-0.1724337133904129,0.015460742912800038
posterior limb of internal capsule on FA skeleton (left),0.10594845924744468,-0.004669509782090347,0.20057969433171446
retrolenticular part of internal capsule on FA skeleton (right),-0.060764290755176635,-0.14652557994851517,0.017608408820467707
retrolenticular part of internal capsule on FA skeleton (left),0.05515530041398613,-0.023454199186888437,0.1116340339412266
anterior corona radiata on FA skeleton (right),0.08942269207128123,-0.013122562286792294,0.18638034045856927
anterior corona radiata on FA skeleton (left),0.05677218535567033,-0.07174081933379499,0.16501998286366745
superior corona radiata on FA skeleton (right),0.02059710308014551,-0.09314059361672243,0.14091507869848754
superior corona radiata on FA skeleton (left),-0.1120497012394269,-0.23262404538389123,0.018634109044411686
posterior corona radiata on FA skeleton (right),0.016918443556897818,-0.09459521655578997,0.13422215783418148
posterior corona radiata on FA skeleton (left),0.03477129270360225,-0.09265767023087694,0.14072162041018796
posterior thalamic radiation on FA skeleton (right),0.02611315534093582,-0.09296960255948278,0.12775083384313388
posterior thalamic radiation on FA skeleton (left),-0.05580734038347671,-0.1716481433680139,0.06649053695307015
sagittal stratum on FA skeleton (right),0.020974300027133824,-0.05526266376745856,0.09213239410524088
sagittal stratum on FA skeleton (left),-0.13264597426788036,-0.21525627798338692,-0.0448717591277923
external capsule on FA skeleton (right),0.0628868014957508,-0.04479130419739909,0.16050066114242767
external capsule on FA skeleton (left),0.002622165723996309,-0.09772684888286608,0.10733317348665265
cingulum cingulate gyrus on FA skeleton (right),-0.0706427745280643,-0.16440368269828612,0.019937348225849562
cingulum cingulate gyrus on FA skeleton (left),0.09598335111660919,-0.01706564411015871,0.21669176896100104
cingulum hippocampus on FA skeleton (right),-0.025654130313014053,-0.0960078398887928,0.061530757679917496
cingulum hippocampus on FA skeleton (left),0.04017044669424826,-0.030072580099072897,0.11356574535154476
fornix cres+stria terminalis on FA skeleton (right),-0.02906626071513993,-0.12831010486795227,0.07594880460830238
fornix cres+stria terminalis on FA skeleton (left),0.06469000307290904,-0.04438126480035412,0.17272087531289432
superior longitudinal fasciculus on FA skeleton (right),-0.0019771988448518013,-0.11431911977805456,0.11162764850460559
superior longitudinal fasciculus on FA skeleton (left),0.03905122173623142,-0.06402368271627618,0.13858569570657736
superior fronto-occipital fasciculus on FA skeleton (right),-0.027423584476796985,-0.12133853444940851,0.055761394826108646
superior fronto-occipital fasciculus on FA skeleton (left),0.03666281556107131,-0.0514633699402103,0.13945103617194665
uncinate fasciculus on FA skeleton (right),0.059614443321701044,-0.008300237601448858,0.12299802454503067
uncinate fasciculus on FA skeleton (left),-0.08436658532081437,-0.15462996959785844,-0.027982144590846608
tapetum on FA skeleton (right),-0.03585828378363135,-0.11485431572367043,0.04364875527290278
tapetum on FA skeleton (left),0.022704388518609807,-0.045234019830617804,0.10119990437544679
