,coef,lower,upper
Frontal Pole (left),0.01656124709666956,-0.11658204109241652,0.1602574387184838
Frontal Pole (right),-0.020521446876681167,-0.17096595008373033,0.12947255638565874
Insular Cortex (left),-0.049181524157429914,-0.1876052616669605,0.07366872946469377
Insular Cortex (right),0.1389183775968787,-0.016202782988608964,0.2825978999665259
Superior Frontal Gyrus (left),-0.005743718662875993,-0.09206131069967448,0.0965791505212469
Superior Frontal Gyrus (right),0.06814761305710343,-0.03375207417150844,0.15212791247876162
Middle Frontal Gyrus (left),-6.351598878020893e-05,-0.09909635887308083,0.08506769809886842
Middle Frontal Gyrus (right),-0.08660956073693411,-0.18155251728139574,-0.015565544250015762
Inferior Frontal Gyrus pars triangularis (left),0.035644780525816634,-0.034859030536456614,0.11615337774231775
Inferior Frontal Gyrus pars triangularis (right),-0.00827039042474707,-0.08178826195788848,0.06825489236760844
Inferior Frontal Gyrus pars opercularis (left),0.023530083062846967,-0.03724132952816943,0.08516294749184851
Inferior Frontal Gyrus pars opercularis (right),-0.0029812828987274137,-0.07027840887434034,0.05933378415207547
Precentral Gyrus (left),0.06368971338289842,-0.03782390463221376,0.17500284596877758
Precentral Gyrus (right),-0.012274709071716437,-0.12282980447500959,0.07216348003877794
Temporal Pole (left),-0.08451223451124394,-0.1764330936177453,-0.0018092030195745465
Temporal Pole (right),-0.00922869882183543,-0.11437430126163631,0.09152392913343833
Superior Temporal Gyrus anterior division (left),0.008967863825756784,-0.08393577714873462,0.09644805587098303
Superior Temporal Gyrus anterior division (right),0.06679484953401425,0.0018487080062149562,0.15662553195160764
Superior Temporal Gyrus posterior division (left),-0.013313064023394881,-0.09510792022490891,0.07530762499093482
Superior Temporal Gyrus posterior division (right),0.02671950110471057,-0.07153638191234765,0.13095369170469684
Middle Temporal Gyrus anterior division (left),-0.025742959204063248,-0.10612563692795066,0.05351731856820003
Middle Temporal Gyrus anterior division (right),0.030711785024810707,-0.037307411830145736,0.11776499815039304
Middle Temporal Gyrus posterior division (left),-0.05470022677102913,-0.13614562955728568,0.03378928677519355
Middle Temporal Gyrus posterior division (right),0.09156231880355752,-0.023450757678359285,0.18204982726331714
Middle Temporal Gyrus temporooccipital part (left),-0.049258445144773184,-0.12348826362189319,0.01628084631117598
Middle Temporal Gyrus temporooccipital part (right),0.06245727316774932,-0.00026680687935806604,0.13930404904592483
Inferior Temporal Gyrus anterior division (left),-0.0003712492264357161,-0.07285273178353034,0.07874847532179918
Inferior Temporal Gyrus anterior division (right),0.043856445759954725,-0.025082747037071,0.11382126229976151
Inferior Temporal Gyrus posterior division (left),-0.0002587949903854464,-0.08157961756529876,0.10094435119712529
Inferior Temporal Gyrus posterior division (right),-0.08610457217078187,-0.17217461741836187,-0.0014774627299768426
Inferior Temporal Gyrus temporooccipital part (left),-0.027638414974186745,-0.1081788013109667,0.05082152159735821
Inferior Temporal Gyrus temporooccipital part (right),-0.06783378402840004,-0.14410558844459348,0.016730048196960917
Postcentral Gyrus (left),-0.041395117286989816,-0.11742672160447098,0.052533413446734865
Postcentral Gyrus (right),0.03358195303002822,-0.06732055116905068,0.13795395459129814
Superior Parietal Lobule (left),0.026047858026050492,-0.026643737816558374,0.0925182395710072
Superior Parietal Lobule (right),-0.07551076941985023,-0.15024933233332535,-0.0011071599464785777
Supramarginal Gyrus anterior division (left),-0.011149337420603115,-0.09482375226777237,0.05676102449336791
Supramarginal Gyrus anterior division (right),0.007537012233406122,-0.06799386785557375,0.08115104334773136
Supramarginal Gyrus posterior division (left),0.007096101490120343,-0.04998916477373887,0.07809860425191395
Supramarginal Gyrus posterior division (right),0.002627476770134613,-0.07632755701291905,0.08394559731934591
Angular Gyrus (left),0.014921154924707374,-0.05927556961034496,0.08812389952479854
Angular Gyrus (right),0.007187125144986076,-0.0640822315154512,0.0834531495364328
Lateral Occipital Cortex superior division (left),-0.07344745847111288,-0.16451543071113095,0.01606848451859155
Lateral Occipital Cortex superior division (right),0.07212229136941005,-0.012612000613341267,0.17796704125692445
Lateral Occipital Cortex inferior division (left),0.04518484792278736,-0.02062451917173771,0.10404257281889676
Lateral Occipital Cortex inferior division (right),0.0022347884673374124,-0.07906452637319361,0.09306231416048091
Intracalcarine Cortex (left),-0.02039578229756278,-0.12994813883079606,0.08342636469508259
Intracalcarine Cortex (right),0.09936868416799385,-0.009701029332881219,0.20622592019024186
Frontal Medial Cortex (left),0.025725776485858765,-0.06257106749864114,0.10020896085271186
Frontal Medial Cortex (right),-0.029117567308069928,-0.11896165931106138,0.08145412134753695
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (left),0.13084369719336658,0.05662478431158957,0.23373778451006988
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (right),-0.04484507765959523,-0.12081556600648125,0.06006827380841271
Subcallosal Cortex (left),0.019771302161988573,-0.11131912592567286,0.1578910988659408
Subcallosal Cortex (right),-0.06649510843364442,-0.2052486491517492,0.054613135463350296
Paracingulate Gyrus (left),0.09242816898675744,-0.03383243407554341,0.20502931211845554
Paracingulate Gyrus (right),-0.06645778882191776,-0.19616328052646512,0.05845527189444625
Cingulate Gyrus anterior division (left),-0.012827019890832988,-0.10054703292172619,0.10045487221707282
Cingulate Gyrus anterior division (right),-0.005149792911218779,-0.1290532361773056,0.09977605423440031
Cingulate Gyrus posterior division (left),0.04869475675764213,-0.05679509821225069,0.15894631763381067
Cingulate Gyrus posterior division (right),-0.06428106450726781,-0.1878127002203852,0.02829099182357596
Precuneous Cortex (left),0.006689544931982172,-0.11097286247542361,0.12499633066863881
Precuneous Cortex (right),0.05854070997493175,-0.06402907365818467,0.19037735773559755
Cuneal Cortex (left),0.04886666050900734,-0.03408953114514196,0.12708282397656498
Cuneal Cortex (right),-0.03835398395687903,-0.12041797421405558,0.047160949953798596
Frontal Orbital Cortex (left),0.07905070971201358,-0.029511406425087542,0.1765753242855363
Frontal Orbital Cortex (right),-0.13172736578761154,-0.20747118490224256,-0.03461565371898862
Parahippocampal Gyrus anterior division (left),0.012327462922348608,-0.08175593177225049,0.09424781369175654
Parahippocampal Gyrus anterior division (right),-0.01598907730287193,-0.1131437142983035,0.06125233047583718
Parahippocampal Gyrus posterior division (left),-0.0024938596166968058,-0.08072704713264793,0.08172666189993603
Parahippocampal Gyrus posterior division (right),-0.05287079155799157,-0.1296169148347042,0.032294288244791323
Lingual Gyrus (left),0.021755988195211292,-0.06543439548500936,0.1291736741085508
Lingual Gyrus (right),0.03510440669755432,-0.053823909127649124,0.13396212415747558
Temporal Fusiform Cortex anterior division (left),0.03559567476848241,-0.05678175225925478,0.1105747632477409
Temporal Fusiform Cortex anterior division (right),-0.026649352480520805,-0.1228851147436161,0.0649078170503272
Temporal Fusiform Cortex posterior division (left),0.03878009146761793,-0.036389747066346165,0.12986564551154925
Temporal Fusiform Cortex posterior division (right),0.05103372170098793,-0.036669704826647824,0.14919988714672106
Temporal Occipital Fusiform Cortex (left),-0.09237773931315521,-0.17889287857307742,-0.007775089782545386
Temporal Occipital Fusiform Cortex (right),0.025432533423552495,-0.059504280142595456,0.08772164620638437
Occipital Fusiform Gyrus (left),0.011270391048283432,-0.06223225039822404,0.09975419254283432
Occipital Fusiform Gyrus (right),-0.017140404208728678,-0.12095808970421244,0.07045083993546615
Frontal Operculum Cortex (left),-0.024418749845881528,-0.10675674711602406,0.060081355067997125
Frontal Operculum Cortex (right),-0.07649485082250519,-0.16453561289739885,0.003431309354890348
Central Opercular Cortex (left),0.01505678324480831,-0.08820554459961376,0.11532006681718421
Central Opercular Cortex (right),-0.11537316429374556,-0.2090232189672875,-0.03273448962907939
Parietal Operculum Cortex (left),-0.010667677819456916,-0.10234454359325572,0.1031801949945747
Parietal Operculum Cortex (right),-0.019759111224551488,-0.0937861554594314,0.08328661542391347
Planum Polare (left),-0.011016219747084867,-0.10078423244354072,0.08663357604836032
Planum Polare (right),-0.00990515942130362,-0.09745902262487557,0.07748768198708873
Heschl's Gyrus (includes H1 and H2) (left),-0.07291769122094743,-0.15847792150542303,0.009375677259107349
Heschl's Gyrus (includes H1 and H2) (right),0.061816076698308506,-0.02849430376873979,0.1614029940293529
Planum Temporale (left),0.03864884584591047,-0.07765167959422593,0.17979998900003563
Planum Temporale (right),-0.09521763080065565,-0.20899371952926113,-0.004246158872538783
Supracalcarine Cortex (left),0.0292790560351999,-0.051284567282778463,0.11760942512883975
Supracalcarine Cortex (right),-0.07884072393297573,-0.1620670254345302,0.010597417719726731
Occipital Pole (left),-0.002896959611570991,-0.10003201976862906,0.10168100332819077
Occipital Pole (right),-0.04540935354939374,-0.12074383912700132,0.034039721147923745
Thalamus (left),0.11319294958968167,0.013941771150425587,0.23346788497720025
Thalamus (right),-0.025469694046199125,-0.14189206643045216,0.07858333085251226
Caudate (left),-0.029579731556783458,-0.16959254403218438,0.09948775141389737
Caudate (right),0.0036453289657871523,-0.1374851634544475,0.13663896840752993
Putamen (left),0.059162564792010555,-0.08199088045194441,0.1928537967505845
Putamen (right),-0.10427879612769089,-0.2563474701408429,0.014253537945318034
Pallidum (left),-0.01657086191805398,-0.11229319435363956,0.06804169262037703
Pallidum (right),0.01658872039394889,-0.06973267073665898,0.10100697489604264
Hippocampus (left),-0.033182257831690966,-0.16093888084747796,0.0852134082386766
Hippocampus (right),0.05623577644769323,-0.07273210915468953,0.17276413689866732
Amygdala (left),0.04982374559935152,-0.04230082953705396,0.14583751689304517
Amygdala (right),-0.018277406156896145,-0.1153261863270809,0.06801983847181135
Ventral Striatum (left),0.029198676662382104,-0.06020652079107067,0.1371340230967888
Ventral Striatum (right),-0.012600157715528817,-0.1301910705648687,0.0962767877221574
Brain-Stem,0.0049398312357360145,-0.06328691467436673,0.0795933096813794
I-IV Cerebellum (left),0.00735141262826988,-0.11472783188969031,0.1308324786212502
I-IV Cerebellum (right),0.005615066407246736,-0.12219193461645514,0.12503986261228112
V Cerebellum (left),0.02399623615357402,-0.11067171626252995,0.14052748480889848
V Cerebellum (right),0.009598883421804164,-0.12666235577045656,0.14727087571567982
VI Cerebellum (left),-0.009789991908502493,-0.1727428129536483,0.1403128646061612
VI Cerebellum (vermis),-0.01919107365839067,-0.09865163864704658,0.057948365920878916
VI Cerebellum (right),0.06326809438420346,-0.08309882882123316,0.2469637310107271
Crus I Cerebellum (left),-0.010470077173613526,-0.13898835524984038,0.10981644719083317
Crus I Cerebellum (vermis),-0.02585459311844653,-0.08890663483804705,0.03524966912422672
Crus I Cerebellum (right),0.024189030645933248,-0.099893090950005,0.16158207409599118
Crus II Cerebellum (left),-0.0139330058653517,-0.13569449560913577,0.1155705803264237
Crus II Cerebellum (vermis),-0.011149645456459155,-0.09604469600359931,0.0701401338084478
Crus II Cerebellum (right),-0.00555120265068611,-0.12591437213114817,0.1406370351215793
VIIb Cerebellum (left),0.06984353958612241,-0.17353724495579242,0.2803918715607544
VIIb Cerebellum (vermis),-0.06992586039302365,-0.16523776648654281,0.02875344126545371
VIIb Cerebellum (right),-0.03801322616611445,-0.15974313896444653,0.1031840515757295
VIIIa Cerebellum (left),-0.08779908284407177,-0.2985704226082315,0.08392988027275698
VIIIa Cerebellum (vermis),-0.034091520446869535,-0.16543097888173763,0.06737391522309157
VIIIa Cerebellum (right),0.02404739551002333,-0.13706718939473347,0.2225313839342962
VIIIb Cerebellum (left),-0.0576571419377073,-0.20430177441674321,0.08766376625162409
VIIIb Cerebellum (vermis),0.1086673832418565,-0.005666568484427392,0.2190062014520456
