Component chronotype,,,,
MAX: inf,,,,
N ABOVE BON (4.29):  161,,,,
N ABOVE FDR (1.82):  294,,,,
Fine Grain info above  Bon,,,,
Printing out 161 hits,,,,
Chronotype EARLY LIFE FACTORS  (1 hit(s)),,,,
Phenotype name,Choices,ID,logarithmic scale of the P value,r value
 'Comparative body size at age 10 (0.0)'), '', '1687-0.0', '4.49',-0.025271737
,,,,
Chronotype LIFESTYLE-GENERAL FACTORS  (35 hit(s)),,,,
 'Leisure/social activities (0.0)'), '2', '6160-0.0', '26.62',0.065820552
 'Plays computer games (0.0)'), '', '2237-0.0', '20.72',0.057800646
 'How are people in household related to participant (0.0)'), '1', '6141-0.0', '15.14',-0.049030092
 'Own or rent accommodation lived in (0.0)'), '1.0', '680_1.0', '13.98',-0.047009611
 'Natural environment percentage  buffer 1000m (0.0)'), '', '24506-0.0', '11.71',-0.04278372
 'Own or rent accommodation lived in (0.0)'), '2.0', '680_2.0', '11.09',0.04157484
 'Illness  injury  bereavement  stress in last 2 years (0.0)'), '6', '6145-0.0', '10.80',0.040988972
 'Nitrogen dioxide air pollution; 2006 (0.0)'), '', '24017-0.0', '10.69',0.040759447
 'Nitrogen dioxide air pollution; 2007 (0.0)'), '', '24018-0.0', '10.44',0.040236906
 'Lifetime number of sexual partners (0.0)'), '', '2149-0.0', '10.00',0.039323826
 'Nitrogen dioxide air pollution; 2010 (0.0)'), '', '24003-0.0', '9.96',0.039243222
 'Nitrogen dioxide air pollution; 2005 (0.0)'), '', '24016-0.0', '9.82',0.03893434
 'Nitrogen oxides air pollution; 2010 (0.0)'), '', '24004-0.0', '9.53',0.038322863
 'Townsend deprivation index at recruitment (0.0)'), '', '189-0.0', '9.12',0.03740661
 'Current employment status (0.0)'), '4', '6142-0.0', '8.63',0.03630995
 'Natural environment percentage  buffer 300m (0.0)'), '', '24507-0.0', '8.44',-0.035882521
 'Greenspace percentage  buffer 1000m (0.0)'), '', '24500-0.0', '7.90',-0.034618107
 'Number of children fathered (0.0)'), '', '2405-0.0', '7.58',-0.033835383
 'Particulate matter air pollution (pm2.5); 2010 (0.0)'), '', '24006-0.0', '7.34',0.033234514
 'Particulate matter air pollution (pm10); 2007 (0.0)'), '', '24019-0.0', '7.01',0.03242125
 'Income score (England) (0.0)'), '', '26411-0.0', '6.69',0.031597882
 'Current employment status (0.0)'), '2', '6142-0.0', '6.55',-0.03124133
 'Mother still alive (0.0)'), '', '1835-0.0', '6.53',0.031188035
 'Index of Multiple Deprivation (England) (0.0)'), '', '26410-0.0', '6.41',0.030865737
 'Illness  bereavement  stress in last 2 years (0.0)'), '100', '6145-0.0', '6.31',-0.030600611
