,catid,coid,phesid,type,logarithm_p,r_chronotype,p_chronotype,i,true_catid
0,3,1677-0.0,1677,,0.042383268,0.000710451,0.907019725,0,3
1,3,1777-0.0,1777,,3.821967474,-0.023050158,0.000150672,1,3
2,3,1787-0.0,1787,,0.069339449,0.00113147,0.852433583,2,3
3,3,1767-0.0,1767,,1.210334385,0.011368687,0.061612044,3,3
4,3,1697-0.0,1697,,0.641058414,-0.007324435,0.22852914,4,3
5,3,1687-0.0,1687,,4.488393409,-0.025271737,3.25E-05,5,3
6,3,20022-0.0,20022,,0.43502084,0.005484183,0.367264677,6,3
7,3,130-0.0,130,,3.539717669,-0.022049159,0.000288591,7,3
8,3,129-0.0,129,,0.331670675,0.004434894,0.465939281,8,3
9,10,728-0.0,728,,3.434815685,-0.021666681,0.000367438,9,10
10,10,738-0.0,738,,0.396737307,-0.005107264,0.401109265,10,10
11,10,26427-0.0,26427,,0.833146495,0.008824458,0.146843087,11,10
12,10,26417-0.0,26417,,5.852732454,0.029339603,1.40E-06,12,10
13,10,22702-0.0,22702,,0.358309359,-0.004715322,0.438218433,13,10
14,10,24008-0.0,24008,,0.367652998,0.004811947,0.428891068,14,10
15,10,20074-0.0,20074,,0.148447613,-0.002257962,0.710480867,15,10
16,10,20075-0.0,20075,,0.414141176,-0.005280213,0.38535307,16,10
17,10,709-0.0,709,,0.836414404,-0.008848565,0.145742292,17,10
18,10,26416-0.0,26416,,5.688345325,0.028877588,2.05E-06,18,10
19,10,24502-0.0,24502,,0.265650178,-0.003705154,0.542437645,19,10
20,10,20111-0.0,20111#4,4,0.436931307,-0.005502661,0.365652623,20,10
21,10,20111-0.0,20111#101,101,0.052921783,0.000877647,0.885275034,21,10
22,10,20111-0.0,20111#11,11,0.35196719,0.004649231,0.444664859,22,10
23,10,22704-0.0,22704,,0.233007645,-0.003323682,0.584779789,23,10
24,10,20111-0.0,20111#10,10,0.087248533,-0.001399768,0.817996541,24,10
25,10,777-0.0,777,,0.253174098,-0.0035611,0.558246362,25,10
26,10,20111-0.0,20111#6,6,0.101560681,0.001608211,0.791478858,26,10
27,10,20111-0.0,20111#1,1,0.408364859,-0.005223114,0.390512681,27,10
28,10,20111-0.0,20111#12,12,0.93491593,0.009556119,0.116167347,28,10
29,10,20111-0.0,20111#13,13,0.139699747,-0.002140311,0.724936977,29,10
30,10,20111-0.0,20111#3,3,0.115457815,-0.001805874,0.766552996,30,10
31,10,24014-0.0,24014,,0.001776518,-3.11E-05,0.995917771,31,10
32,10,24003-0.0,24003,,9.963082768,0.039243222,1.09E-10,32,10
33,10,24007-0.0,24007,,6.047868702,0.029879404,8.96E-07,33,10
34,10,24005-0.0,24005,,1.914604835,0.01524902,0.012172931,34,10
35,10,24508-0.0,24508,,0.47457444,-0.005860674,0.335293829,35,10
36,10,26410-0.0,26410,,6.412987773,0.030865737,3.86E-07,36,10
37,10,26411-0.0,26411,,6.691180709,0.031597882,2.04E-07,37,10
38,10,26412-0.0,26412,,3.258348142,0.021009446,0.000551635,38,10
39,10,26413-0.0,26413,,4.369951678,0.024890029,4.27E-05,39,10
40,10,26414-0.0,26414,,2.038917314,0.01585459,0.009142873,40,10
41,10,2139-0.0,2139,,1.868825246,-0.015021052,0.013526167,41,10
